S.NO,IMAGES,PARTICULARS,PCS RATE,GRAM,IMAGE ADRESS
,,CHOCOLATES,,,
1,,LOTUS KUNAFA SMALL ,50,,https://down-my.img.susercontent.com/file/my-11134207-7rasa-m3g8nnks4rjw8b
2,,KUNAFA GOLD,55,,CAMERA PIC
3,,DUBAI MILAN KUNAFA,400,45g,CAMERA PIC
4,,KUNAFA CHOCOLATE ,500,200g,CAMERA PIC
5,,LADIO KUNAFA ,500,100g,CAMERA PIC
6,,G? DUBAI CHOCOLATE GREEN,500,100g,CAMERA PIC
7,,G? DUBAI CHOCOLATE ,500,100g,CAMERA PIC
8,,ARABIAN TREATZ KUNAFA STRAWBERRY ,600,100g,CAMERA PIC
9,,ARABIAN TREATZ KUNAFA PISTACHIO ,600,100g,https://cdn.greatdeals.com.sg/wp-content/uploads/2025/02/25170650/kunafa-pistachio-chocolate-7-eleven-singapore-900x473.jpg
10,,ARABIAN TREATZ KUNAFA MANGO,600,100g,CAMERA PIC
11,,KUNAFA LIMITED EDITION,420,50g,CAMERA PIC
12,,MILLENNIUM DARK CHOCOLATE 99%,600,100g,http://tabib-jo.com/storage/products-images/5902574395788/16939349592w.jpg
13,,MILLENNIUM BRUT DARK CHOCOLATE 74%,600,100g,https://millennium-trade.com/image/cache/catalog/products/13_MILL_FAVORITE_brut74-470x310.jpg
14,,LINDT DARK CHOCOLATE 70%,600,100g,https://contenthandler-raleys.fieldera.com/prod/94038/1/0/0/480063177-Hero.jpg
15,,GALAXY DARK CHOCOLATE ,130,36g,https://www.sharjahcoop.ae/medias/6294001815259-1200Wx1200H-001.jpg?context=bWFzdGVyfHNjc3w0Njc2MjR8aW1hZ2UvanBlZ3xzY3MvaDYyL2gyNC84ODYzMjUzOTIxODIyLmpwZ3wxNGU4MWFmN2QyMzQ3ODViMTE5MGEzNDdlNzRjODY4MWFiMDc0YWZiYmUzZWE0M2E3ZmUyM2MwMzc3NGExMzBk
16,,GALAXY SMOOTH WHITE ,130,38g,https://cfn-catalog-prod.tradeling.com/up/65f5481bb07c4500f07d290e/67caf1e0c9acb5840bdc3fc1a399a6ab.jpg
17,,FIDJI CAPPUCCINO ,320,90g,https://i.ytimg.com/vi/EJQsGIy5ok0/maxresdefault.jpg
18,,FIDJI STRAWBERRY ,320,90g,CAMERA PIC
19,,FIDJI HAZELNUT ,320,90g,CAMERA PIC
20,,KIT KAT DARK CHOCOLATE ,220,150g,https://m.media-amazon.com/images/I/81cxxRUfOXL._SL1500_.jpg
21,,KIT KAT DELIGHT ,220,150g,CAMERA PIC
22,,DIGESTIVE ORIGINAL ,45,30g,CAMERA PIC
23,,DIGESTIVE CARAMEL ,49,30g,CAMERA PIC
24,,MINIS,1299,500g,https://m.media-amazon.com/images/I/61zqGQoqCrL._AC_SL1178_.jpg
25,,DIGESTIVE ORIGINAL 400g,349,400g,https://i0.wp.com/nextcashandcarry.com.ng/wp-content/uploads/2023/05/MCVITIES-DIGESTIVE-D-ORIGINAL-400G.jpg?fit=1000%2C1000&ssl=1
26,,SNICKERS 11.5G,10,11.5g,https://5.imimg.com/data5/SELLER/Default/2023/11/363633849/WW/SV/SQ/199268574/snickers-trio-112-5g-in-bulk-1000x1000.jpg
27,,SNICKERS 20G,20,20g,https://5.imimg.com/data5/SELLER/Default/2025/5/511921325/CS/TB/OO/97508240/20g-snickers-peanut-filled-chocolate-bar-500x500.png
28,,GO FRESH ,30,20g,https://doddys.lk/wp-content/uploads/2022/11/Go-fresh-x1-01.jpg
29,,SNICKERS 50G,70,50g,https://www.mashed.com/img/gallery/snickers-just-launched-a-brand-new-high-protein-bar/l-intro-1670959713.jpg
30,,TWIX ,70,50g,https://www.twix.com/sites/g/files/fnmzdf236/files/migrate-product-files/pm57alsea7mspqhhgfuf.png
31,,SNICKERS 40G,50,40g,https://i0.wp.com/treatsnstuff.com/wp-content/uploads/2023/01/Snickers-20G-1.jpg?fit=800%2C800&ssl=1
32,,KIT KAT 4PCS,90,41.5g,https://media.naheed.pk/catalog/product/cache/2f2d0cb0c5f92580479e8350be94f387/1/0/1030270-rpl-1.jpg
33,,MARS,90,20g,https://i.pinimg.com/originals/70/44/ac/7044ac23550efa34f0c562ea9f41e198.png
34,,SNICKERS CARAMEL,145,42g,https://images-na.ssl-images-amazon.com/images/I/41+B9T2lgkL._SL500_._AC_SL500_.jpg
35,,FRUIT TELLA GRAPES,59,,CAMERA PIC
36,,FRUIT TELLA ORANGE,59,,CAMERA PIC
37,,FRUIT TELLA STRAWBERRY AND BANANA ,59,,CAMERA PIC
38,,MILK CHOCOLATE ,62,,CAMERA PIC
39,,KIT KAT 8PCS PACK,400,141.6g,https://osfor.com.tr/wp-content/uploads/2020/12/KIT-KAT-20.7G-ORIGINAL8PCS.jpg
40,,SNICKERS 5PCS PACK,250,115g,https://cdn.mafrservices.com/pim-content/UAE/media/product/2249151/1753128604/2249151_main.jpg?im=Resize=400
41,,HOT FIRE SOFFTY,149,120g,https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2020/06/1200/675/roasting-marshmallow.jpg?ve=1&tl=1
42,,JUICY DROPS PEACH ,15,17.5g,CAMERA PIC
43,,JUICY DROPS WATERMELON ,15,17.5g,CAMERA PIC
44,,CHUPA CHUPS,99,11g,CAMERA PIC
45,,HUBBA BUBBA SNAPPY STRAWBERRY ,199,56g,https://creativesweets.co.za/wp-content/uploads/2022/05/Hubba-Bubba-Strawberry.jpg
46,,HUBBA BUBBA FANCY FRUIT,199,56g,https://www.koratchef.com/wp-content/uploads/2025/02/Hubba-Bubba-Fancy-Fruit-Bubblegum-Mega-Long-56g.png
47,,BATOOK SPECIAL MINT,15,12.5g,https://supersavings.lk/wp-content/uploads/2023/05/batook-special-mint.jpg
48,,BATOOK BANANA,15,12.5g,https://m.media-amazon.com/images/I/51TkWNsDO7L._SL1200_.jpg
49,,BATOOK CARDAMOM,15,12.5g,https://cdn.mafrservices.com/sys-master-root/h2b/h2b/9277803855902/207630_main.jpg?im=Resize=480
50,,BATOOK GRAPES,15,12.5g,http://www.batook.com/wp-content/uploads/2021/05/B-GRAPE1.png
51,,IMPACT MINTS PINEAPPLE ,149,14g,https://impactmints.in/cdn/shop/files/Pineapple.jpg?v=1698321831&width=1946
52,,IMPACT MINTS PEACH,149,14g,http://impactmints.in/cdn/shop/files/Peach.jpg?v=1698321686
53,,IMPACT MINTS STRAWBERRY ,149,14g,https://rukminim1.flixcart.com/image/416/416/l55nekw0/candy-mouth-freshener/w/a/7/14-sugar-free-mints-strawberry-1-impact-mints-original-imagfwczsfttqqwp.jpeg?q=70
54,,MENTOS MINT,25,29.7g,https://a.allegroimg.com/original/110f91/8e44ae964c08b42fb58fa95dbe02/Mentos-Mint-cukierki-do-zucia-40x38g
55,,MENTOS RAINBOW ,25,29.7g,https://mwdsnacks.com/wp-content/uploads/2020/05/527239.jpg
56,,EXTRA SPEARMINT ,60,14g,https://images-na.ssl-images-amazon.com/images/I/414XWcweBCL._SL500_._AC_SL500_.jpg
57,,EXTRA PEPPER MINT,60,14g,https://digitalcontent.api.tesco.com/v2/media/ghs/15305df0-96f6-4e58-bb26-e88a2ecdc72c/bbe99133-bdff-4359-a80e-da7aa6ec8ce4_416057431.jpeg?h=960&w=960
58,,EXTRA WATERMELON ,60,14g,https://www.wholesalesweets.co.uk/_next/image?url=https%3A%2F%2Fws-api.hancocks.co.uk%2Fmedia%2Fcatalog%2Fproduct%2F3%2F1%2F315339_b_24.jpg&w=3840&q=75
59,,EXTRA STRAWBERRY ,60,14g,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS6waTfq-YTGm2G_5OfqPrbsNnya5irSjl5Bg&s
,,BISCUITS,,,
64,,MUNCHEE MILK BISCUIT,60,200g,"https://m.media-amazon.com/images/I/612dRstUCTL.jpg_BO30,255,255,255_UF900,850_SR1910,1000,0,C_QL100_.jpg"
65,,MUNCHEE MILK BISCUIT 75G,20,75g,https://quickee.com/wp-content/uploads/2022/10/MUNCHEE-MILK-SHORT-CAKE-BISCUITS-85G-1.png
66,,MUNCHEE GINGER BISCUIT ,20,75g,https://shionlankafoods.com/wp-content/uploads/2024/01/IMG_9675.jpeg
